question_id,query_type,question,method,expected_chunk_id,gold_rank,gold_doc_rank,hit@1,hit@3,hit@5,rr,top1_chunk_id,error
Q001,EXACT_KEYWORD,73/2016/NĐ-CP Điều 100 quy định nội dung gì?,bm25,112025_D100_168,2,1,0,1,1,0.5,112025_D21K2_069,
Q001,EXACT_KEYWORD,73/2016/NĐ-CP Điều 100 quy định nội dung gì?,dense,112025_D100_168,0,1,0,0,0,0.0,112025_D12K1_025,
Q001,EXACT_KEYWORD,73/2016/NĐ-CP Điều 100 quy định nội dung gì?,hybrid,112025_D100_168,0,1,0,0,0,0.0,112025_D21K2_069,
Q001,EXACT_KEYWORD,73/2016/NĐ-CP Điều 100 quy định nội dung gì?,hybrid_rerank,112025_D100_168,1,1,1,1,1,1.0,112025_D100_168,
Q002,EXACT_KEYWORD,105/2016/TT-BTC Điều 13 quy định nội dung gì?,bm25,112924_D13_037,1,1,1,1,1,1.0,112924_D13_037,
Q002,EXACT_KEYWORD,105/2016/TT-BTC Điều 13 quy định nội dung gì?,dense,112924_D13_037,0,1,0,0,0,0.0,112924_D20_050,
Q002,EXACT_KEYWORD,105/2016/TT-BTC Điều 13 quy định nội dung gì?,hybrid,112924_D13_037,5,1,0,0,1,0.2,112924_D7K2_013,
Q002,EXACT_KEYWORD,105/2016/TT-BTC Điều 13 quy định nội dung gì?,hybrid_rerank,112924_D13_037,1,1,1,1,1,1.0,112924_D13_037,
Q003,EXACT_KEYWORD,41/2016/TT-NHNN Điều 10 quy định nội dung gì?,bm25,117310_D10_064,0,1,0,0,0,0.0,117310_D9K18_063,
Q003,EXACT_KEYWORD,41/2016/TT-NHNN Điều 10 quy định nội dung gì?,dense,117310_D10_064,0,1,0,0,0,0.0,117310_D2K19_022,
Q003,EXACT_KEYWORD,41/2016/TT-NHNN Điều 10 quy định nội dung gì?,hybrid,117310_D10_064,0,1,0,0,0,0.0,117310_D9K18_063,
Q003,EXACT_KEYWORD,41/2016/TT-NHNN Điều 10 quy định nội dung gì?,hybrid_rerank,117310_D10_064,0,2,0,0,0,0.0,164719_D1K4_005,
Q004,EXACT_KEYWORD,05/2019/NĐ-CP Điều 10 quy định nội dung gì?,bm25,133858_D10_011,2,1,0,1,1,0.5,133858_D30_031,
Q004,EXACT_KEYWORD,05/2019/NĐ-CP Điều 10 quy định nội dung gì?,dense,133858_D10_011,0,1,0,0,0,0.0,133858_D30_031,
Q004,EXACT_KEYWORD,05/2019/NĐ-CP Điều 10 quy định nội dung gì?,hybrid,133858_D10_011,2,1,0,1,1,0.5,133858_D30_031,
Q004,EXACT_KEYWORD,05/2019/NĐ-CP Điều 10 quy định nội dung gì?,hybrid_rerank,133858_D10_011,2,1,0,1,1,0.5,133858_D30_031,
Q005,EXACT_KEYWORD,66/2020/TT-BTC Điều 3 quy định nội dung gì?,bm25,143217_D3_004,1,1,1,1,1,1.0,143217_D3_004,
Q005,EXACT_KEYWORD,66/2020/TT-BTC Điều 3 quy định nội dung gì?,dense,143217_D3_004,2,1,0,1,1,0.5,143217_D1_002,
Q005,EXACT_KEYWORD,66/2020/TT-BTC Điều 3 quy định nội dung gì?,hybrid,143217_D3_004,1,1,1,1,1,1.0,143217_D3_004,
Q005,EXACT_KEYWORD,66/2020/TT-BTC Điều 3 quy định nội dung gì?,hybrid_rerank,143217_D3_004,1,1,1,1,1,1.0,143217_D3_004,
Q006,EXACT_KEYWORD,156/2020/NĐ-CP Điều 16 quy định nội dung gì?,bm25,146468_D16_052,1,1,1,1,1,1.0,146468_D16_052,
Q006,EXACT_KEYWORD,156/2020/NĐ-CP Điều 16 quy định nội dung gì?,dense,146468_D16_052,2,2,0,1,1,0.5,166170_D16_021,
