entity,entity_type,source,method,confidence,evidence
Quốc hội,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
Vương Đình Huệ,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Vương Đình Huệ'
Tín dụng,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Tín dụng'
Chính phủ,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
Nguyễn Xuân Phúc,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Xuân Phúc'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đào Minh Tú,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đào Minh Tú'
Phát hành và kho quỹ,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Phát hành và kho quỹ'
Quốc hội,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
Nguyễn Phú Trọng,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Phú Trọng'
Chính phủ,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
Lê Minh Khái,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Lê Minh Khái'
Bảo hiểm,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Bảo hiểm'
Chính phủ,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
Nguyễn Xuân Phúc,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Xuân Phúc'
Chứng khoán,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Chứng khoán'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đào Minh Tú,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đào Minh Tú'
"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Thanh tra, giám sát ngân hàng'"
Chính phủ,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
Nguyễn Xuân Phúc,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Xuân Phúc'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Phạm Thanh Hà,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Phạm Thanh Hà'
Quản lý ngoại hối,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Quản lý ngoại hối'
Chính phủ,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
Nguyễn Tấn Dũng,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Tấn Dũng'
Bộ Tài chính,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
Nguyễn Đức Chi,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Đức Chi'
Bộ Tài chính,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
Trần Xuân Hà,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Trần Xuân Hà'
Quản lý dịch vụ tài chính và các quỹ tài chính,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Quản lý dịch vụ tài chính và các quỹ tài chính'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Thanh tra, giám sát ngân hàng'"
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Trần Minh Tuấn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Trần Minh Tuấn'
Bộ Tài chính,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đào Minh Tú,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đào Minh Tú'
"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Thanh tra, giám sát ngân hàng'"
Bộ Tài chính,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
Tạ Anh Tuấn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Tạ Anh Tuấn'
"Kế toán, kiểm toán",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Kế toán, kiểm toán'"
