item_id,domain,unit_scope,audit_question,risk_description,risk_level,source_citation,recommendation,review_status,generation_method
CHK_KHO_01,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,Cán bộ công nhân viên tại chi nhánh có tuân thủ nghiêm cấm mang chìa khóa kho tiền ra khỏi trụ sở làm việc hay không?,"Nguy cơ thất thoát tài sản, lộ bí mật an toàn kho quỹ hoặc kho tiền bị xâm nhập trái phép ngoài giờ làm việc.",HIGH,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 1 | doc_agr_at01_01],"Kiểm tra thực tế việc quản lý, bàn giao và cất giữ chìa khóa kho tiền sau giờ làm việc tại chi nhánh.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_KHO_02,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Khi vận chuyển tiền mặt có giá trị từ 3 tỷ đồng trở lên hoặc đi tuyến đường liên tỉnh, chi nhánh có bố trí xe ô tô bọc thép chuyên dùng, 02 bảo vệ chuyên trách có trang bị công cụ hỗ trợ và đảm bảo hạn mức không quá 50 tỷ đồng/chuyến không?","Nguy cơ mất an toàn, bị cướp hoặc thất thoát tài sản trên đường vận chuyển do không đảm bảo phương tiện chuyên dụng, lực lượng bảo vệ và vượt hạn mức quy định.",HIGH,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 12 | doc_agr_at01_02],"Kiểm tra nhật ký điều xe bọc thép, hồ sơ phân công lực lượng bảo vệ, công cụ hỗ trợ và hạn mức tiền mặt trên các lệnh vận chuyển.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_KHO_03,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Quy trình kiểm đếm, phân loại tiền không đủ tiêu chuẩn lưu thông có được thực hiện dưới camera giám sát 24/7 và tiền nghi giả có được lập biên bản thu giữ, niêm phong trong ngày, báo cáo NHNN chi nhánh sở tại không?","Không phát hiện hoặc xử lý không đúng quy định đối với tiền giả/tiền nghi giả, thiếu dữ liệu hình ảnh đối soát khi xảy ra thất thoát, vi phạm quy định của Ngân hàng Nhà nước.",HIGH,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 25 | doc_agr_at01_03],"Trích xuất camera giám sát khu vực kiểm đếm và kiểm tra hồ sơ, biên bản thu giữ, niêm phong tiền nghi giả cùng các văn bản báo cáo NHNN sở tại.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_KHO_04,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Ban Quản lý kho tiền tại chi nhánh có đảm bảo đủ 3 thành viên (Giám đốc/Phó Giám đốc ủy quyền, Kế toán trưởng/Phụ trách kế toán, Thủ kho tiền) và có đầy đủ 3 thành viên khi mở cửa gian kho tiền không?","Vi phạm quy định an toàn kho quỹ, gia tăng rủi ro gian lận nội bộ hoặc không xác định được trách nhiệm cá nhân khi xảy ra sự cố trong kho tiền.",HIGH,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 30 | doc_agr_at01_04],Đối chiếu sổ theo dõi/nhật ký ra vào mở cửa kho tiền với văn bản phân công/ủy quyền Ban Quản lý kho tiền và dữ liệu camera giám sát cửa kho.,NEEDS_HUMAN_REVIEW,llm_assisted
CHK_KHO_05,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Chi nhánh có thực hiện kiểm tra toàn diện an toàn kho quỹ và tổng kiểm kê (vào 0h ngày 01/01 và ngày 01/7), kiểm kê định kỳ hàng tháng và kiểm kê quỹ tiền mặt vào cuối ngày làm việc theo quy định không?","Không kịp thời phát hiện chênh lệch, thừa thiếu hoặc vi phạm an toàn kho quỹ, dẫn đến rủi ro thất thoát tài sản kéo dài.",HIGH,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 59. Định kỳ kiểm tra, kiểm kê | doc_44209_điều_59__định_kỳ_kiểm_tra__kiểm_kê_59]","Rà soát toàn bộ biên bản tổng kiểm kê định kỳ 0h ngày 01/01, 01/07, biên bản kiểm kê hàng tháng và nhật ký/bảng kiểm kê quỹ cuối ngày.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_KHO_06,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Khi xảy ra thừa, thiếu tiền mặt/tài sản hoặc mất tiền từ 50 triệu đồng trở lên (hoặc có dấu hiệu tội phạm), chi nhánh có thực hiện kiểm kê, lập biên bản, giữ nguyên hiện trường và điện báo cáo NHNN/cơ quan công an đúng thời hạn 24 giờ không?","Vi phạm quy định báo cáo, làm xáo trộn hiện trường gây khó khăn cho công tác điều tra, làm chậm trễ quá trình xử lý và thu hồi tài sản thất thoát.",HIGH,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 65. Xử lý các trường hợp thừa hoặc thiếu tiền mặt, tài sản quý, giấy tờ có giá bảo quản trong kho tiền, quầy giao dịch, trên đường vận chuyển | doc_44209_điều_65__xử_lý_các_trường_hợp_thừa_hoặc_thiếu_tiền_mặt__tài_sản_quý__giấy_tờ_có_giá_bảo_quản_trong_kho_tiền__quầy_giao_dịch__trên_đường_vận_chuyển_65]","Kiểm tra các biên bản xử lý thừa thiếu quỹ, báo cáo sự cố và mốc thời gian gửi điện báo cáo về NHNN chi nhánh cũng như thông báo cơ quan công an (nếu có).",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_KHO_07,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Chi nhánh có ban hành Quyết định thành lập Hội đồng kiểm kê/Hội đồng kiểm đếm, phân loại tiền đúng thành phần quy định (Giám đốc làm Chủ tịch, các ủy viên là Trưởng phòng Kế toán, Kho quỹ, Kiểm soát) không?","Kết quả kiểm kê, kiểm đếm không đúng quy định pháp lý, thiếu tính độc lập và khách quan trong công tác kiểm soát kho quỹ.",MEDIUM,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 62. Hội đồng kiểm kê, Hội đồng kiểm đếm, phân loại tiền | doc_44209_điều_62__hội_đồng_kiểm_kê__hội_đồng_kiểm_đếm__phân_loại_tiền_62]","Kiểm tra văn bản, Quyết định thành lập Hội đồng kiểm kê/kiểm đếm và thành phần nhân sự thực tế ký trên các biên bản kiểm kê.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_KHO_08,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Thủ kho tiền có thực hiện xuất nhập tiền/tài sản đúng lệnh/chứng từ hợp lệ, ghi chép sổ quỹ/thẻ kho chính xác, sắp xếp tài sản gọn gàng và quản lý đúng ổ khóa được giao không?","Sai lệch sổ sách và thực tế, thất thoát tài sản, hoặc mất an toàn trong công tác bảo quản tài sản kho tiền.",HIGH,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 19. Trách nhiệm của Thủ kho tiền | doc_44209_điều_19__trách_nhiệm_của_thủ_kho_tiền_19]","Kiểm tra chứng từ xuất nhập kho, đối chiếu sổ quỹ, thẻ kho, thực tế sắp xếp trong kho và kiểm tra việc giữ chìa khóa ổ khóa cửa trong/két tủ của thủ kho.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_KHO_09,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Việc niêm phong, lập biên bản niêm phong chìa khóa dự phòng cửa kho tiền và gửi hộp chìa khóa dự phòng (có 2 ổ khóa do Giám đốc và Thủ kho quản lý) đến đơn vị nhận gửi ngay trong ngày có đúng quy định không?","Nguy cơ mất an toàn chìa khóa dự phòng, bị lạm dụng hoặc mở cửa kho tiền trái phép khi không được niêm phong và gửi bảo quản đúng quy định.",HIGH,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 31. Niêm phong và gửi chìa khóa dự phòng khóa cửa kho tiền | doc_44209_điều_31__niêm_phong_và_gửi_chìa_khóa_dự_phòng_khóa_cửa_kho_tiền_31]","Kiểm tra biên bản niêm phong chìa khóa dự phòng, hồ sơ/giấy biên nhận gửi hộp chìa khóa dự phòng tại NHNN chi nhánh hoặc TCTD/Kho bạc Nhà nước khác.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_IT_01,Bảo mật CNTT & AI,Khối CNTT,Hệ thống RAG và các ứng dụng AI tra cứu quy định Agribank đã tuân thủ chính sách bảo mật dữ liệu theo cấp độ 3 An toàn thông tin và thực hiện mã hóa AES-128/Fernet at-rest đối với toàn bộ dữ liệu nhạy cảm chưa?,Nguy cơ rò rỉ dữ liệu nhạy cảm của ngân hàng khi bị truy cập trái phép hoặc tấn công vào hạ tầng lưu trữ; vi phạm quy định bảo mật dữ liệu cấp độ 3 An toàn thông tin.,HIGH,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 9 | doc_agr_it07_01],"Thực hiện kiểm thử cấu hình mã hóa lưu trữ (at-rest) đối với dữ liệu nhạy cảm trên hệ thống RAG/AI, đối chiếu với thuật toán mã hóa AES-128/Fernet và kiểm tra hồ sơ phê duyệt cấp độ an toàn thông tin cấp độ 3.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_IT_02,Bảo mật CNTT & AI,Khối CNTT,"Nhật ký hệ thống (Audit Trail) của ứng dụng RAG Agribank có ghi nhận đầy đủ các thông tin gồm timestamp, user_id, user_role, query, access decision, candidate filtered và được lưu dưới định dạng tệp JSON Lines không?","Thiếu hụt dữ liệu vết hệ thống khiến Khối CNTT không thể phát hiện, truy vết hoặc phân tích nguyên nhân khi xảy ra các sự cố an toàn thông tin, truy vấn bất thường hoặc vi phạm an ninh mạng.",HIGH,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 16 | doc_agr_it07_02],"Trích xuất mẫu các tệp log ứng dụng RAG, kiểm tra định dạng tệp (JSON Lines) và đối chiếu cấu trúc log để đảm bảo đầy đủ các trường dữ liệu bắt buộc theo quy định.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_IT_03,Bảo mật CNTT & AI,Khối CNTT,Các tệp nhật ký hệ thống của ứng dụng RAG Agribank có được lưu vết và duy trì thời hạn lưu trữ tối thiểu 12 tháng không?,"Không đáp ứng yêu cầu lưu trữ nhật ký phục vụ công tác kiểm toán, điều tra sự cố bảo mật hoặc tuân thủ pháp luật do tệp log bị xóa hoặc ghi đè trước 12 tháng.",MEDIUM,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 16 | doc_agr_it07_02],"Kiểm tra chính sách và cấu hình lưu trữ nhật ký (Log Retention Policy) trên hệ thống lưu trữ log, thực hiện truy xuất dữ liệu log lịch sử cách đây 12 tháng để xác minh khả năng lưu vết thực tế.",NEEDS_HUMAN_REVIEW,llm_assisted
CHK_IT_04,Bảo mật CNTT & AI,Khối CNTT,"Hệ thống công nghệ thông tin phục vụ tính tỷ lệ an toàn vốn có đảm bảo quản lý tập trung toàn hệ thống, bảo mật, an toàn và có đầy đủ quy trình rà soát, kiểm tra, dự phòng, xử lý sự cố, bảo trì định kỳ không?","Hệ thống CNTT không đảm bảo an toàn bảo mật, bị gián đoạn vận hành hoặc xử lý sự cố không kịp thời gây ảnh hưởng đến tính chính xác và tiến độ báo cáo tỷ lệ an toàn vốn cho Ngân hàng Nhà nước.",HIGH,"[41/2016/TT-NHNN - Thông tư số 41/2016/TT-NHNN Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài | Điều 4. Dữ liệu và hệ thống công nghệ thông tin | doc_117310_điều_4__dữ_liệu_và_hệ_thống_công_nghệ_thông_tin_4]","Đánh giá các quy trình vận hành, bảo trì, dự phòng và xử lý sự cố CNTT; kiểm tra việc thiết lập kiến trúc quản lý tập trung và các biện pháp bảo mật của hệ thống tính tỷ lệ an toàn vốn.",NEEDS_HUMAN_REVIEW,llm_assisted
