entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
COQ_001,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
COQ_001,CoQuan,Bộ Tài chính,Bộ Tài chính,143217,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
COQ_001,CoQuan,Bộ Tài chính,Bộ Tài chính,150974,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
COQ_001,CoQuan,Bộ Tài chính,Bộ Tài chính,30402,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
COQ_001,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
COQ_002,CoQuan,Chính phủ,Chính phủ,112025,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
COQ_002,CoQuan,Chính phủ,Chính phủ,133858,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
COQ_002,CoQuan,Chính phủ,Chính phủ,146468,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
COQ_002,CoQuan,Chính phủ,Chính phủ,163441,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
COQ_002,CoQuan,Chính phủ,Chính phủ,95652,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,117310,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,164719,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168220,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
