item_id,domain,unit_scope,audit_question,risk_description,risk_level,source_citation,recommendation,review_status,generation_method
CHK_KHO_01,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 1. Phạm vi và đối tượng tuân thủ không? ""Quy định này áp dụng đối với toàn bộ cán bộ công nhân viên thuộc chi nhánh, phòng giao dịch Agribank trong công tác giao nhận, kiểm đếm, bảo quản và vận chuyển tiền mặt, tài sản quý, giấy tờ có giá. Nghiêm cấm mọi hành v...""",Vi phạm nội dung tại [100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 1 | doc_agr_at01_01] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức high theo cụm từ bắt buộc trong chính văn bản.,HIGH,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 1 | doc_agr_at01_01],Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_KHO_02,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 12. Xe bọc thép và phương án bảo vệ không? ""Khi tiến hành vận chuyển tiền mặt có giá trị từ 3 tỷ đồng trở lên hoặc tuyến đường di chuyển liên tỉnh, Agribank bắt buộc bố trí xe ô tô bọc thép chuyên dùng và 02 bảo vệ chuyên trách trang bị công cụ hỗ trợ. Hạn mức vận...""",Vi phạm nội dung tại [100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 12 | doc_agr_at01_02] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức high theo cụm từ bắt buộc trong chính văn bản.,HIGH,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 12 | doc_agr_at01_02],Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_KHO_03,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 25. Kiểm đếm và niêm phong tiền nghi giả không? ""Quy trình kiểm đếm và phân loại tiền không đủ tiêu chuẩn lưu thông tại Agribank phải thực hiện dưới camera giám sát 24/7. Tiền nghi giả phải lập biên bản thu giữ và niêm phong trong ngày, báo cáo Ngân hàng Nhà nước chi n...""",Vi phạm nội dung tại [100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 25 | doc_agr_at01_03] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức medium theo cụm từ bắt buộc trong chính văn bản.,MEDIUM,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 25 | doc_agr_at01_03],Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_KHO_04,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 30. Trách nhiệm của Ban Quản lý kho tiền không? ""Ban Quản lý kho tiền tại mỗi chi nhánh Agribank bao gồm 3 thành viên bắt buộc: Giám đốc (hoặc Phó Giám đốc ủy quyền), Kế toán trưởng (hoặc Phụ trách kế toán) và Thủ kho tiền. Mọi lần mở cửa gian kho tiền phải có mặt đầy...""",Vi phạm nội dung tại [100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 30 | doc_agr_at01_04] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức high theo cụm từ bắt buộc trong chính văn bản.,HIGH,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 30 | doc_agr_at01_04],Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_KHO_05,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 59. Định kỳ kiểm tra, kiểm kê không? ""Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 59. Định kỳ kiểm tra, kiểm kê
Điều 59. Định kỳ kiểm tra, kiểm kê
1...""","Vi phạm nội dung tại [01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 59. Định kỳ kiểm tra, kiểm kê | doc_44209_điều_59__định_kỳ_kiểm_tra__kiểm_kê_59] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức medium theo cụm từ bắt buộc trong chính văn bản.",MEDIUM,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 59. Định kỳ kiểm tra, kiểm kê | doc_44209_điều_59__định_kỳ_kiểm_tra__kiểm_kê_59]",Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_KHO_06,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 65. Xử lý các trường hợp thừa hoặc thiếu tiền mặt, tài sản quý, giấy tờ có giá bảo quản trong kho tiền, quầy giao dịch, trên đường vận chuyển không? ""Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 65. Xử lý các trường hợp thừa hoặc thiếu tiền mặt, tài sản quý, gi...""","Vi phạm nội dung tại [01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 65. Xử lý các trường hợp thừa hoặc thiếu tiền mặt, tài sản quý, giấy tờ có giá bảo quản trong kho tiền, quầy giao dịch, trên đường vận chuyển | doc_44209_điều_65__xử_lý_các_trường_hợp_thừa_hoặc_thiếu_tiền_mặt__tài_sản_quý__giấy_tờ_có_giá_bảo_quản_trong_kho_tiền__quầy_giao_dịch__trên_đường_vận_chuyển_65] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức medium theo cụm từ bắt buộc trong chính văn bản.",MEDIUM,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 65. Xử lý các trường hợp thừa hoặc thiếu tiền mặt, tài sản quý, giấy tờ có giá bảo quản trong kho tiền, quầy giao dịch, trên đường vận chuyển | doc_44209_điều_65__xử_lý_các_trường_hợp_thừa_hoặc_thiếu_tiền_mặt__tài_sản_quý__giấy_tờ_có_giá_bảo_quản_trong_kho_tiền__quầy_giao_dịch__trên_đường_vận_chuyển_65]",Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_KHO_07,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 62. Hội đồng kiểm kê, Hội đồng kiểm đếm, phân loại tiền không? ""Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 62. Hội đồng kiểm kê, Hội đồng kiểm đếm, phân loại tiền
Điều 62. H...""","Vi phạm nội dung tại [01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 62. Hội đồng kiểm kê, Hội đồng kiểm đếm, phân loại tiền | doc_44209_điều_62__hội_đồng_kiểm_kê__hội_đồng_kiểm_đếm__phân_loại_tiền_62] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức high theo cụm từ bắt buộc trong chính văn bản.",HIGH,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 62. Hội đồng kiểm kê, Hội đồng kiểm đếm, phân loại tiền | doc_44209_điều_62__hội_đồng_kiểm_kê__hội_đồng_kiểm_đếm__phân_loại_tiền_62]",Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_KHO_08,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 19. Trách nhiệm của Thủ kho tiền không? ""Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 19. Trách nhiệm của Thủ kho tiền
Điều 19. Trách nhiệm của Thủ kho...""","Vi phạm nội dung tại [01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 19. Trách nhiệm của Thủ kho tiền | doc_44209_điều_19__trách_nhiệm_của_thủ_kho_tiền_19] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức high theo cụm từ bắt buộc trong chính văn bản.",HIGH,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 19. Trách nhiệm của Thủ kho tiền | doc_44209_điều_19__trách_nhiệm_của_thủ_kho_tiền_19]",Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_KHO_09,An toàn kho quỹ & Vận chuyển tiền,Chi nhánh loại 1,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 31. Niêm phong và gửi chìa khóa dự phòng khóa cửa kho tiền không? ""Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 31. Niêm phong và gửi chìa khóa dự phòng khóa cửa kho tiền
Điều 31...""","Vi phạm nội dung tại [01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 31. Niêm phong và gửi chìa khóa dự phòng khóa cửa kho tiền | doc_44209_điều_31__niêm_phong_và_gửi_chìa_khóa_dự_phòng_khóa_cửa_kho_tiền_31] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức low theo cụm từ bắt buộc trong chính văn bản.",LOW,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 31. Niêm phong và gửi chìa khóa dự phòng khóa cửa kho tiền | doc_44209_điều_31__niêm_phong_và_gửi_chìa_khóa_dự_phòng_khóa_cửa_kho_tiền_31]",Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
CHK_IT_01,Bảo mật CNTT & AI,Khối CNTT,"Đơn vị có tuân thủ đúng nội dung sau tại Điều 9. Tiêu chuẩn mã hóa dữ liệu ứng dụng AI không? ""Hệ thống RAG và các ứng dụng AI tra cứu quy định Agribank phải tuân thủ chính sách bảo mật dữ liệu theo cấp độ 3 An toàn thông tin. Tất cả các dữ liệu nhạy cảm lưu trữ phải được mã hóa AES-128/Fernet at-rest.""",Vi phạm nội dung tại [600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 9 | doc_agr_it07_01] có thể dẫn tới rủi ro tuân thủ/vận hành tương ứng mức medium theo cụm từ bắt buộc trong chính văn bản.,MEDIUM,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 9 | doc_agr_it07_01],Đối chiếu hồ sơ/thực tế tại đơn vị với đúng yêu cầu nêu trên; lập biên bản và báo cáo nếu phát hiện sai lệch.,NEEDS_HUMAN_REVIEW,extractive_rule_based
