entity,entity_type,source_doc_id,source,method,confidence,evidence
Quốc hội,CoQuan,166170,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
Vương Đình Huệ,NguoiKy,166170,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Vương Đình Huệ'
Tín dụng,LinhVuc,166170,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Tín dụng'
Tổ chức tín dụng,DoiTuongApDung,166170,content_clean,gemini,0.95,1. Tổ chức tín dụng.
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,166170,content_clean,gemini,0.95,2. Chi nhánh ngân hàng nước ngoài.
"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,166170,content_clean,gemini,0.95,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",DoiTuongApDung,166170,content_clean,gemini,0.95,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
"Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ",DoiTuongApDung,166170,content_clean,gemini,0.95,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của t"
Chính phủ,CoQuan,112025,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Chính phủ'
Nguyễn Xuân Phúc,NguoiKy,112025,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Xuân Phúc'
Doanh nghiệp bảo hiểm,DoiTuongApDung,112025,content_clean,gemini,0.95,a) Doanh nghiệp bảo hiểm;
Chi nhánh nước ngoài,DoiTuongApDung,112025,content_clean,gemini,0.95,b) Chi nhánh nước ngoài;
Doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,112025,content_clean,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
Đại lý bảo hiểm,DoiTuongApDung,112025,content_clean,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,112025,content_clean,gemini,0.95,"d) Các tổ chức, cá nhân khác có liên quan."
Bảo hiểm,LinhVuc,112025,content_clean,gemini,0.95,"QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢO HIỂM"
